joint id: 5, measured_angle: -0.000542, target_angle: -0.005042, newest_measurement_index: 9549
joint id: 6, measured_angle: 0.008245, target_angle: 0.012745, newest_measurement_index: 9216
joint id: 7, measured_angle: -0.001832, target_angle: 0.002668, newest_measurement_index: 9320
joint id: 8, measured_angle: -0.001763, target_angle: -0.006263, newest_measurement_index: 9320
joint id: 0, measured_angle: -0.001693, target_angle: 0.002898, newest_measurement_index: 11534
joint id: 1, measured_angle: -0.106743, target_angle: -0.102047, newest_measurement_index: 11647
joint id: 2, measured_angle: -0.002530, target_angle: -0.007260, newest_measurement_index: 11648
joint id: 3, measured_angle: -0.001135, target_angle: 0.003630, newest_measurement_index: 9439
joint id: 4, measured_angle: -0.117150, target_angle: -0.112350, newest_measurement_index: 9549
joint id: 5, measured_angle: -0.000542, target_angle: -0.005342, newest_measurement_index: 9549
joint id: 6, measured_angle: 0.008245, target_angle: 0.013045, newest_measurement_index: 9216
joint id: 7, measured_angle: -0.001832, target_angle: 0.002968, newest_measurement_index: 9321
joint id: 8, measured_angle: -0.001763, target_angle: -0.006563, newest_measurement_index: 9321
joint id: 0, measured_angle: -0.001693, target_angle: 0.003198, newest_measurement_index: 11535
joint id: 1, measured_angle: -0.106708, target_angle: -0.101747, newest_measurement_index: 11648
joint id: 2, measured_angle: -0.002530, target_angle: -0.007560, newest_measurement_index: 11648
joint id: 3, measured_angle: -0.001135, target_angle: 0.003930, newest_measurement_index: 9439
joint id: 4, measured_angle: -0.117150, target_angle: -0.112050, newest_measurement_index: 9550
joint id: 5, measured_angle: -0.000542, target_angle: -0.005642, newest_measurement_index: 9550
joint id: 6, measured_angle: 0.008245, target_angle: 0.013345, newest_measurement_index: 9217
joint id: 7, measured_angle: -0.001832, target_angle: 0.003268, newest_measurement_index: 9321
joint id: 8, measured_angle: -0.001763, target_angle: -0.006863, newest_measurement_index: 9321
joint id: 0, measured_angle: -0.001658, target_angle: 0.003498, newest_measurement_index: 11536
joint id: 1, measured_angle: -0.106708, target_angle: -0.101447, newest_measurement_index: 11650
joint id: 2, measured_angle: -0.002565, target_angle: -0.007860, newest_measurement_index: 11650
joint id: 3, measured_angle: -0.001135, target_angle: 0.004230, newest_measurement_index: 9440
joint id: 4, measured_angle: -0.117150, target_angle: -0.111750, newest_measurement_index: 9550
joint id: 5, measured_angle: -0.000542, target_angle: -0.005942, newest_measurement_index: 9550
joint id: 6, measured_angle: 0.008245, target_angle: 0.013645, newest_measurement_index: 9217
joint id: 7, measured_angle: -0.001832, target_angle: 0.003568, newest_measurement_index: 9321
joint id: 8, measured_angle: -0.001763, target_angle: -0.007163, newest_measurement_index: 9321
joint id: 0, measured_angle: -0.001658, target_angle: 0.003798, newest_measurement_index: 11537
joint id: 1, measured_angle: -0.106708, target_angle: -0.101147, newest_measurement_index: 11651
joint id: 2, measured_angle: -0.002599, target_angle: -0.008160, newest_measurement_index: 11651
joint id: 3, measured_angle: -0.001135, target_angle: 0.004530, newest_measurement_index: 9440
joint id: 4, measured_angle: -0.117150, target_angle: -0.111450, newest_measurement_index: 9550
joint id: 5, measured_angle: -0.000542, target_angle: -0.006242, newest_measurement_index: 9550
joint id: 6, measured_angle: 0.008245, target_angle: 0.013945, newest_measurement_index: 9217
joint id: 7, measured_angle: -0.001832, target_angle: 0.003868, newest_measurement_index: 9321
joint id: 8, measured_angle: -0.001763, target_angle: -0.007463, newest_measurement_index: 9321
joint id: 0, measured_angle: -0.001658, target_angle: 0.004098, newest_measurement_index: 11538
joint id: 1, measured_angle: -0.106708, target_angle: -0.100847, newest_measurement_index: 11652
joint id: 2, measured_angle: -0.002599, target_angle: -0.008460, newest_measurement_index: 11652
joint id: 3, measured_angle: -0.001135, target_angle: 0.004830, newest_measurement_index: 9440
joint id: 4, measured_angle: -0.117150, target_angle: -0.111150, newest_measurement_index: 9551
joint id: 5, measured_angle: -0.000542, target_angle: -0.006542, newest_measurement_index: 9551
joint id: 6, measured_angle: 0.008245, target_angle: 0.014245, newest_measurement_index: 9217
joint id: 7, measured_angle: -0.001832, target_angle: 0.004168, newest_measurement_index: 9321
joint id: 8, measured_angle: -0.001763, target_angle: -0.007763, newest_measurement_index: 9321
joint id: 0, measured_angle: -0.001623, target_angle: 0.004398, newest_measurement_index: 11539
joint id: 1, measured_angle: -0.106708, target_angle: -0.100547, newest_measurement_index: 11652
joint id: 2, measured_angle: -0.002599, target_angle: -0.008760, newest_measurement_index: 11652
joint id: 3, measured_angle: -0.001135, target_angle: 0.005130, newest_measurement_index: 9441
joint id: 4, measured_angle: -0.117150, target_angle: -0.110850, newest_measurement_index: 9551
joint id: 5, measured_angle: -0.000542, target_angle: -0.006842, newest_measurement_index: 9551
joint id: 6, measured_angle: 0.008245, target_angle: 0.014545, newest_measurement_index: 9217
joint id: 7, measured_angle: -0.001832, target_angle: 0.004468, newest_measurement_index: 9322
joint id: 8, measured_angle: -0.001763, target_angle: -0.008063, newest_measurement_index: 9322
joint id: 0, measured_angle: -0.001623, target_angle: 0.004698, newest_measurement_index: 11540
joint id: 1, measured_angle: -0.106708, target_angle: -0.100247, newest_measurement_index: 11653
joint id: 2, measured_angle: -0.002634, target_angle: -0.009060, newest_measurement_index: 11653
joint id: 3, measured_angle: -0.001135, target_angle: 0.005430, newest_measurement_index: 9441
joint id: 4, measured_angle: -0.117150, target_angle: -0.110550, newest_measurement_index: 9551
joint id: 5, measured_angle: -0.000542, target_angle: -0.007142, newest_measurement_index: 9551
joint id: 6, measured_angle: 0.008245, target_angle: 0.014845, newest_measurement_index: 9218
joint id: 7, measured_angle: -0.001832, target_angle: 0.004768, newest_measurement_index: 9322
joint id: 8, measured_angle: -0.001763, target_angle: -0.008363, newest_measurement_index: 9322
