joint id: 7, measured_angle: -0.021449, target_angle: -0.017249, newest_measurement_index: 5069
joint id: 8, measured_angle: -0.005215, target_angle: -0.009415, newest_measurement_index: 5069
joint id: 0, measured_angle: -0.010848, target_angle: -0.006487, newest_measurement_index: 9978
joint id: 1, measured_angle: -0.010325, target_angle: -0.005964, newest_measurement_index: 10056
joint id: 2, measured_angle: 0.016703, target_angle: 0.012308, newest_measurement_index: 10056
joint id: 3, measured_angle: 0.001550, target_angle: 0.006050, newest_measurement_index: 5241
joint id: 4, measured_angle: 0.001341, target_angle: 0.005841, newest_measurement_index: 5264
joint id: 5, measured_angle: 0.023414, target_angle: 0.018914, newest_measurement_index: 5264
joint id: 6, measured_angle: 0.023294, target_angle: 0.027794, newest_measurement_index: 4993
joint id: 7, measured_angle: -0.021449, target_angle: -0.016949, newest_measurement_index: 5069
joint id: 8, measured_angle: -0.005215, target_angle: -0.009715, newest_measurement_index: 5069
joint id: 0, measured_angle: -0.010848, target_angle: -0.006187, newest_measurement_index: 9979
joint id: 1, measured_angle: -0.010325, target_angle: -0.005664, newest_measurement_index: 10057
joint id: 2, measured_angle: 0.016668, target_angle: 0.012008, newest_measurement_index: 10057
joint id: 3, measured_angle: 0.001550, target_angle: 0.006350, newest_measurement_index: 5241
joint id: 4, measured_angle: 0.001341, target_angle: 0.006141, newest_measurement_index: 5264
joint id: 5, measured_angle: 0.023414, target_angle: 0.018614, newest_measurement_index: 5264
joint id: 6, measured_angle: 0.023294, target_angle: 0.028094, newest_measurement_index: 4993
joint id: 7, measured_angle: -0.021449, target_angle: -0.016649, newest_measurement_index: 5069
joint id: 8, measured_angle: -0.005215, target_angle: -0.010015, newest_measurement_index: 5069
joint id: 0, measured_angle: -0.010848, target_angle: -0.005887, newest_measurement_index: 9980
joint id: 1, measured_angle: -0.010325, target_angle: -0.005364, newest_measurement_index: 10058
joint id: 2, measured_angle: 0.016668, target_angle: 0.011708, newest_measurement_index: 10058
joint id: 3, measured_angle: 0.001550, target_angle: 0.006650, newest_measurement_index: 5241
joint id: 4, measured_angle: 0.001341, target_angle: 0.006441, newest_measurement_index: 5264
joint id: 5, measured_angle: 0.023414, target_angle: 0.018314, newest_measurement_index: 5264
joint id: 6, measured_angle: 0.023294, target_angle: 0.028394, newest_measurement_index: 4993
joint id: 7, measured_angle: -0.021449, target_angle: -0.016349, newest_measurement_index: 5069
joint id: 8, measured_angle: -0.005215, target_angle: -0.010315, newest_measurement_index: 5069
joint id: 0, measured_angle: -0.010813, target_angle: -0.005587, newest_measurement_index: 9981
joint id: 1, measured_angle: -0.010325, target_angle: -0.005064, newest_measurement_index: 10059
joint id: 2, measured_angle: 0.016668, target_angle: 0.011408, newest_measurement_index: 10059
