joint id: 6, measured_angle: 0.008280, target_angle: 0.012180, newest_measurement_index: 9294
joint id: 7, measured_angle: -0.002041, target_angle: 0.001893, newest_measurement_index: 9397
joint id: 8, measured_angle: -0.001867, target_angle: -0.005767, newest_measurement_index: 9397
joint id: 0, measured_angle: -0.002723, target_angle: 0.001337, newest_measurement_index: 11787
joint id: 1, measured_angle: -0.098478, target_angle: -0.094383, newest_measurement_index: 11904
joint id: 2, measured_angle: -0.002286, target_angle: -0.006381, newest_measurement_index: 11904
joint id: 3, measured_angle: -0.001030, target_angle: 0.003170, newest_measurement_index: 9506
joint id: 4, measured_angle: -0.107595, target_angle: -0.103395, newest_measurement_index: 9614
joint id: 5, measured_angle: -0.000507, target_angle: -0.004707, newest_measurement_index: 9614
joint id: 6, measured_angle: 0.008280, target_angle: 0.012480, newest_measurement_index: 9294
joint id: 7, measured_angle: -0.002076, target_angle: 0.002193, newest_measurement_index: 9398
joint id: 8, measured_angle: -0.001867, target_angle: -0.006067, newest_measurement_index: 9398
joint id: 0, measured_angle: -0.002723, target_angle: 0.001637, newest_measurement_index: 11788
joint id: 1, measured_angle: -0.098478, target_angle: -0.094083, newest_measurement_index: 11905
joint id: 2, measured_angle: -0.002286, target_angle: -0.006681, newest_measurement_index: 11905
joint id: 3, measured_angle: -0.001030, target_angle: 0.003470, newest_measurement_index: 9507
joint id: 4, measured_angle: -0.107595, target_angle: -0.103095, newest_measurement_index: 9614
joint id: 5, measured_angle: -0.000507, target_angle: -0.005007, newest_measurement_index: 9614
joint id: 6, measured_angle: 0.008280, target_angle: 0.012780, newest_measurement_index: 9295
joint id: 7, measured_angle: -0.002076, target_angle: 0.002493, newest_measurement_index: 9398
joint id: 8, measured_angle: -0.001867, target_angle: -0.006367, newest_measurement_index: 9398
joint id: 0, measured_angle: -0.002688, target_angle: 0.001937, newest_measurement_index: 11789
joint id: 1, measured_angle: -0.098443, target_angle: -0.093783, newest_measurement_index: 11906
joint id: 2, measured_angle: -0.002320, target_angle: -0.006981, newest_measurement_index: 11906
joint id: 3, measured_angle: -0.001030, target_angle: 0.003770, newest_measurement_index: 9507
joint id: 4, measured_angle: -0.107595, target_angle: -0.102795, newest_measurement_index: 9614
joint id: 5, measured_angle: -0.000507, target_angle: -0.005307, newest_measurement_index: 9614
joint id: 6, measured_angle: 0.008280, target_angle: 0.013080, newest_measurement_index: 9295
joint id: 7, measured_angle: -0.002111, target_angle: 0.002793, newest_measurement_index: 9399
joint id: 8, measured_angle: -0.001867, target_angle: -0.006667, newest_measurement_index: 9399
joint id: 0, measured_angle: -0.002688, target_angle: 0.002237, newest_measurement_index: 11790
joint id: 1, measured_angle: -0.098443, target_angle: -0.093483, newest_measurement_index: 11907
joint id: 2, measured_angle: -0.002320, target_angle: -0.007281, newest_measurement_index: 11907
joint id: 3, measured_angle: -0.001030, target_angle: 0.004070, newest_measurement_index: 9508
joint id: 4, measured_angle: -0.107595, target_angle: -0.102495, newest_measurement_index: 9616
joint id: 5, measured_angle: -0.000507, target_angle: -0.005607, newest_measurement_index: 9616
